,S.N,C.N,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
0,1,MgTiN2,2001.569,568.8211,471.1457,-0.0,0.0,0.0,568.8211,1707.8862,1375.8068,0.0,0.0,-0.0,471.1457,1375.8068,1468.9109,-0.0,0.0,0.0,-0.0,0.0,-0.0,420.0801,-0.0,0.0,0.0,-0.0,0.0,-0.0,229.2562,0.0,0.0,-0.0,0.0,0.0,0.0,482.6327
1,2,FeSi2,3843.5272,742.4299,1062.5539999999999,-0.0,0.0,0.0,742.4299,3183.2818,524.96,-0.0,0.0,0.0,1062.5539999999999,524.96,3752.0229,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1443.4805,0.0,0.0,0.0,0.0,-0.0,0.0,1254.8264,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1304.4936
2,3,WO3,691.8657,-145.1014,153.502,-0.0,228.7754,-0.0,-145.1014,1419.0534,532.2319,0.0,313.7399,0.0,153.502,532.2319,793.9448,-0.0,123.9551,-0.0,-0.0,0.0,-0.0,575.2482,-0.0,-75.265,228.7754,313.7399,123.9551,-0.0,517.5015,-0.0,-0.0,0.0,-0.0,-75.265,-0.0,433.4979
3,4,TePb,1296.6472,51.177,51.177,0.0,0.0,-0.0,51.177,1296.6472,51.177,0.0,-0.0,-0.0,51.177,51.177,1296.6472,0.0,0.0,-0.0,0.0,0.0,0.0,149.1129,-0.0,0.0,0.0,-0.0,0.0,-0.0,149.1129,0.0,-0.0,-0.0,-0.0,0.0,0.0,149.1129
4,5,PbClF,938.2711,486.0329,480.6779,0.0,-0.0,0.0,486.0329,938.2711,480.6779,0.0,-0.0,-0.0,480.6779,480.6779,744.8993,0.0,-0.0,0.0,0.0,0.0,0.0,218.5291,0.0,0.0,-0.0,-0.0,-0.0,0.0,218.5291,0.0,0.0,-0.0,0.0,0.0,0.0,330.2799
5,6,Ta3N5,4278.2913,2350.7824,1871.1621,0.0,-0.0,0.0,2350.7824,4199.592000000001,1491.0377,-0.0,0.0,0.0,1871.1621,1491.0377,4186.2294,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1229.1704,0.0,0.0,-0.0,-0.0,0.0,0.0,1210.9416,0.0,0.0,0.0,-0.0,0.0,0.0,556.8577
6,7,Bi2SO2,1476.8737,341.5372,455.7353,0.0,-0.0,0.0,341.5372,842.3389,431.6491,0.0,-0.0,-0.0,455.7353,431.6491,1418.1312,-0.0,-0.0,0.0,0.0,0.0,-0.0,85.4846,-0.0,0.0,-0.0,0.0,-0.0,-0.0,109.0946,-0.0,0.0,-0.0,0.0,0.0,-0.0,282.9898
7,8,BaZrO3,3246.6617,834.066,834.066,-0.0,0.0,-0.0,834.066,3246.6617,834.066,-0.0,0.0,0.0,834.066,834.066,3246.6617,-0.0,0.0,0.0,-0.0,-0.0,-0.0,877.1904,0.0,0.0,0.0,0.0,0.0,0.0,877.1904,0.0,-0.0,0.0,0.0,0.0,0.0,877.1904
8,9,TiO2,3528.046,1507.1565,1526.9372,0.0,0.0,-0.0,1507.1565,3528.046,1526.9372,0.0,0.0,-0.0,1526.9372,1526.9372,1967.6236,-0.0,0.0,-0.0,0.0,0.0,-0.0,455.3264,-0.0,0.0,0.0,0.0,0.0,-0.0,455.3205,0.0,-0.0,-0.0,-0.0,0.0,0.0,569.5229
9,10,NaTaO3,4396.1562,726.7971,726.7971,0.0,0.0,-0.0,726.7971,4396.1562,726.7971,0.0,0.0,0.0,726.7971,726.7971,4396.1562,-0.0,0.0,0.0,0.0,0.0,-0.0,793.7818,0.0,0.0,0.0,0.0,0.0,0.0,793.7818,0.0,-0.0,0.0,0.0,0.0,0.0,793.7818
10,11,CaZrO3,2420.3819,937.2234,741.9656,-0.0,-0.0,-0.0,937.2234,2688.3497,733.9054,-0.0,-0.0,0.0,741.9656,733.9054,2592.139,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,779.4399,0.0,-0.0,-0.0,-0.0,-0.0,0.0,848.9085,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,887.1821
11,12,SrZrO3,2214.3307,775.2457,801.8773,0.0,0.0,-0.0,775.2457,2214.3307,801.8773,-0.0,0.0,-0.0,801.8773,801.8773,3080.4358,0.0,0.0,0.0,0.0,0.0,0.0,832.2652,0.0,0.0,0.0,0.0,0.0,0.0,832.2652,0.0,0.0,-0.0,0.0,0.0,0.0,980.0298
12,13,BaZrS3,988.9575,560.6902,462.1475,0.0,0.0,0.0,560.6902,1010.07,367.6715,-0.0,-0.0,0.0,462.1475,367.6715,1259.9689,-0.0,0.0,-0.0,0.0,-0.0,-0.0,308.8627,-0.0,-0.0,0.0,-0.0,0.0,-0.0,336.9273,-0.0,0.0,0.0,-0.0,-0.0,-0.0,412.2937
13,14,Sr2TiO4,2449.9323,602.0767,736.6155,-0.0,0.0,-0.0,602.0767,2449.9323,736.6155,-0.0,0.0,-0.0,736.6155,736.6155,2116.9009,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,681.8203,-0.0,0.0,0.0,0.0,-0.0,-0.0,681.8203,0.0,-0.0,-0.0,-0.0,0.0,0.0,740.3882
14,15,TiO2,3500.2787,1608.7723,1263.9701,-0.0,90.6002,-0.0,1608.7723,3044.5917,1455.8433,0.0,9.296,-0.0,1263.9701,1455.8433,3334.3794,0.0,15.0359,-0.0,-0.0,0.0,0.0,527.1203,-0.0,74.2588,90.6002,9.296,15.0359,-0.0,468.89099999999996,-0.0,-0.0,-0.0,-0.0,74.2588,-0.0,461.4264
15,16,Na4Ti5O12,2416.4111,879.4943,574.0715,-23.5959,-3.2392,-0.0,879.4943,2416.4114,574.0715,23.5959,3.2392,-0.0,574.0715,574.0715,2457.3411,0.0,0.0,0.0,-23.5959,23.5959,0.0,403.1553,-0.0,-3.2392,-3.2392,3.2392,0.0,-0.0,403.1553,23.596,-0.0,-0.0,0.0,-3.2392,23.596,768.4585
16,17,Sr2HfO4,2615.7336,453.2993,664.4357,0.0,0.0,-0.0,453.2993,2615.7336,664.4357,0.0,0.0,-0.0,664.4357,664.4357,2211.1492,0.0,0.0,-0.0,0.0,0.0,0.0,587.8317,0.0,0.0,0.0,0.0,0.0,0.0,587.8317,0.0,-0.0,-0.0,-0.0,0.0,0.0,563.8269
17,18,CsSrF3,1014.7486,179.3292,179.3292,-0.0,-0.0,-0.0,179.3292,1014.7486,179.3292,0.0,-0.0,0.0,179.3292,179.3292,1014.7486,-0.0,0.0,-0.0,-0.0,0.0,-0.0,139.8055,0.0,0.0,-0.0,-0.0,0.0,0.0,139.8055,0.0,-0.0,0.0,-0.0,0.0,0.0,139.8055
18,19,SnBrF,632.3841,315.9908,145.3097,-0.0,0.0,0.0,315.9908,632.3841,145.3097,-0.0,0.0,0.0,145.3097,145.3097,41.172,-0.0,0.0,0.0,-0.0,-0.0,-0.0,150.4904,0.0,0.0,0.0,0.0,0.0,0.0,150.4904,0.0,0.0,0.0,0.0,0.0,0.0,260.9438
